9.787292,3
10.04719,1
10.31941,4
10.59177,0
10.82954,3
11.12111,2
11.37345,4
11.60968,0
11.86206,3
12.11098,1
12.39386,2
12.63564,4
12.85445,0
13.09254,3
13.34758,1
13.6335,2
13.9199,4
14.14142,0
14.39454,3
14.6631,1
14.90778,2
15.16045,3
15.40861,1
15.63132,4
15.86739,0
16.10278,3
16.45777,1
16.74987,4
17.03666,2
17.28943,3
17.55881,0
17.81147,4
18.03141,1
18.23327,3
18.51939,2
18.73884,4
19.00171,1
19.1874,3
19.52455,0
19.77684,4
20.11478,2
20.31816,3
20.55458,1
20.8387,4
21.04227,0
21.25592,3
21.50788,2
21.84485,3
22.04733,1
22.30256,4
22.54076,0
